sentence,sentiment
"Reeling from shocks delivered by the Trump administration last week, European leaders held emergency talks in Paris on Monday as US and Russian officials prepare to meet in Saudi Arabia to discuss ending the war in Ukraine – without European or Ukrainian involvement.",Neutral
"Aside from a brief call Monday between French President Emmanuel Macron and his US counterpart Donald Trump, European leaders have been sidelined at the start of a pivotal week for the continent’s security.",Positive
"Instead, the focus will be on US-Russia talks in Riyadh, where Secretary of State Marco Rubio will sit down on Tuesday with Russian Foreign Minister Sergey Lavrov, who said the discussion will aim to end the “abnormal period” in relations between the two “great powers.” Those talks could lay the ground for a potential meeting between Trump and Russian President Vladimir Putin.",Positive
"Faced with the prospect of a diminished US footprint in Europe, the European leaders’ meeting focused on the potential deployment of European troops to Ukraine and the willingness of European allies to step up defense spending.",Neutral
"UK Prime Minister Keir Starmer, who called the Paris meeting a “one in a generation” moment for the continent’s national security, said afterwards that he is “prepared to consider committing British forces on the ground, alongside others, if there is a lasting peace agreement.”",Neutral
Other European leaders also suggested stepping up in various ways.,Negative
"NATO Secretary Mark Rutte told CNN that the Paris talks were a chance for European leaders to strategize on the best possible way to support a peace process, including discussions about many “wanting to put troops in Ukraine post a peace deal.” Rutte added that it’s “very important that the US is willing to provide a backup – so no troops on the ground, but a backup — enabling such efforts.”",Positive
"“It means Europeans [are] willing to step up, getting positively engaged, willing to help out in Ukraine post a peace deal, including with troops if necessary, but clearly with an American backup — because you have to make clear that the deterrence is completely in place and that Putin will never try again,” Rutte said.",Positive
"Ukrainian President Volodymyr Zelensky spoke with Macron after the Paris summit, reiterating his call for “robust and reliable” security guarantees for Ukraine, he said in a post on X.",Neutral
"During three years of war in Ukraine, Europe and the United States had remained remarkably united in their stance towards Russia",Positive
"But just over three weeks into Trump’s second presidency, much of that unity has unraveled.",Positive
The Trump administration delivered a series of blows to Europe and Ukraine last week,Neutral
"First, Defense Secretary Pete Hegseth said that NATO membership for Ukraine was not a realistic outcome of a negotiated settlement, and that European security was no longer a priority for the US.",Positive
"Then, Trump held a long phone call with Putin, effectively ending the Western policy of “nothing about Ukraine without Ukraine.” Then Vice President JD Vance turned on European leaders in a blistering speech at the Munich Security Conference on Friday, lambasting them for alleged crackdowns on free speech.",Positive
"“The threat that I worry most about vis-a-vis Europe is not Russia,” Vance told a stone-faced audience",Positive
“What I worry about is the threat from within.”,Neutral
"Nigel Gould-Davies, senior fellow for Russia and Eurasia at the International Institute for Strategic Studies, said the flurry of statements from the Trump administration had plunged Europe into “uncharted territory.”",Neutral
"In making concessions to the Kremlin before negotiations had begun, Gould-Davies said the Trump administration was showing “undue haste” that could create openings for Putin.",Neutral
“If you are negotiating and you are showing that you’re the one that wants to get this done as quickly as possible,Positive
That puts you in a weaker position,Neutral
"There’s a lot for Putin to exploit,” he told CNN.",Neutral
"Zelensky said Ukraine will not participate in the US-Russia talks in Saudi Arabia, despite being in the country for separate meetings",Neutral
"He said any discussions “about Ukraine without Ukraine” will not bear fruit, and that Kyiv would reject a deal negotiated without Kyiv’s involvement.",Neutral
"Zelensky did, however, signal his openness to sign a deal that would grant the US access to Ukraine’s rare earth minerals, if Washington provides security guarantees to Kyiv in return.",Positive
"“The question is not what Ukraine can give, but what can Ukraine get?” Zelensky said Monday.",Neutral
"After rejecting the Trump administration’s initial approach over the weekend, Zelensky said he would welcome a “more detailed plan.”",Positive
"Zelensky also confirmed that Keith Kellogg, Trump’s Russia-Ukraine envoy, is expected to visit Ukraine on Thursday",Positive
Zelensky said he hopes to take Kellogg to meet soldiers on the frontline “so that he can see it at their level.”,Neutral
"But the bulk of the Trump administration’s diplomacy will be conducted in the Middle East, where Rubio will be joined in Riyadh by National Security Adviser Mike Waltz and Special Envoy Steve Witkoff, the State Department confirmed",Positive
The Kremlin said that Lavrov will be joined by presidential aide Yury Ushakov.,Neutral
Rubio framed the talks as an attempt to determine whether Russia is serious about ending its war in Ukraine,Negative
"Lavrov, however, signaled loftier goals, saying Trump and Putin “agreed on the need to leave behind an absolutely abnormal period in the relations between the two great powers.”",Positive
"Asked by CNN whether Russia is willing to make compromises, Lavrov suggested it would take a hardline approach to negotiations.",Positive
"Gould-Davies, a former UK ambassador to Belarus, said it was a “concern” that Europe will have a limited influence on a negotiated settlement, but will have to live with its consequences.",Positive
“It’s the Americans alone who are negotiating with Russia,Neutral
"But the Americans are also saying it is Europe alone who will have to enforce and guarantee and pay for any agreement that the Americans make over their heads,” he said.",Neutral
"“It’s no exaggeration to say this is the most serious crisis that the transatlantic alliance has faced,” he added.",Positive
"Meanwhile in Paris, Rutte told CNN that he believes the United States intends to ensure Ukraine has a part in future negotiations.",Neutral
“It is about Ukraine,Neutral
"So, Ukraine will be at the table, I have no doubt,” Rutte said following talks with the leaders of France, the United Kingdom, Germany, Italy, Poland, Spain, Netherlands, Denmark and the European Union.",Neutral
"When asked about the possibility that a peace deal could be struck without consulting Ukraine and NATO, Rutte said that “NATO, or Europe, have to be relevant to sit at that table if they want to",Positive
And I think the Europeans are now stepping up.”,Neutral
"Rutte also said the Trump administration was correct to say European NATO allies need to spend more on defense, adding that he believes it must be “north of 3%” of GDP in order to fill “huge gaps” in capabilities",Positive
“They were right,Positive
"We have to spend more, and we will spend more.”",Positive
"Netflix’s new series “Apple Cider Vinegar” certainly takes aim at wellness influencers, but the Western medical system isn’t safe from criticism either.",Positive
"The show is a dramatization of the story of Belle Gibson, a convicted Australian scammer who claimed she had terminal brain cancer who is played by Kaitlyn Dever, and the impact she had by selling books and an app that claimed clean eating made her well again.",Positive
Also featured is a fictionalized representation of one of the people Gibson impacted named Lucy,Neutral
"In the show, her character stops her cancer treatments in hopes that Gibson’s method will cure her in a more compassionate way than the hospital system.",Positive
"Show creator Samantha Strauss said the character of Lucy was important to depict what a lot of people feel when fighting a disease: not listened to, not in control and not acknowledged as a full person.",Positive
"“So, it makes sense we want to put our faith in the hands of someone (likely beautiful) on the internet,” Straus said in an email",Positive
"“We know they’re selling us something, but when you’re terrified that you’re sick and dying, or that someone you love is sick and dying, you can’t put a price on hope.”",Negative
The problems depicted in the show are not just a work of fiction,Neutral
"There is a real need for more widespread preventative and lifestyle treatment in the US medical system, said Dr",Positive
"Dariush Mozaffarian, a cardiologist and director of the Food is Medicine Institute at Tufts University in Massachusetts.",Neutral
"“There are many patients who are suffering from auto immune diseases, chronic pain diseases, other chronic diseases where their regular medical system has failed them,” he said",Negative
“It’s basically just doing kind of Band-Aid fixes to get them past their symptoms.”,Positive
"“It’s entirely understandable that people are starving … for information around healthy eating,” Mozaffarian said.",Positive
"Diseases that the scientists know are connected to diet –– including diabetes, heart disease, depression and gut problems –– are rampant, he said",Neutral
"And not enough funding has gone into research about how other health problems are connected to what you eat, Mozaffarian said.",Negative
"That means many times you go to see a doctor they aren’t going to have a lot of current information on how foods or behaviors impact your concerns, he said.",Positive
"“You have this perfect storm of widespread disease, widespread confusion and widespread desperation for information,” Mozaffarian added",Positive
"“And while that craving for better nutrition information can be a good thing, it also leaves people open to people with half-true or completely false health claims to step in.”",Positive
"In addition, people don’t always feel comfortable bringing their wellness practices to their doctor, said Dr",Positive
"Summer Allen, a family medicine physician at the Mayo Clinic in Rochester, Minnesota.",Neutral
"“They don’t feel like they’re going to have someone give them an open mind or try to understand what’s drawn them to a certain behavior or to a certain lifestyle or health,” she said.",Positive
"Traditionally, medicine has worked in a paternalistic way, she said",Neutral
"You explained your symptoms to your doctor, they told you what to do, and you did it.",Neutral
"“That’s just not where we’re at from a society standpoint, given just the abundance of knowledge and information we have now, and also because people really are experts about their body and what they’re experiencing,” she said.",Positive
"Ideally, everyone would have a team of health care providers who collaborated with you and could help guide you in the behavioral changes to improve your health, but unfortunately, that isn’t always easy, Allen said.",Positive
"But as some professionals in the field advocate for a more whole-person approach, there are things you can do to connect with resources who can help you integrate prevention, behavior and alternative approaches into your care, she said.",Positive
"The American College of Lifestyle Medicine has a certification for doctors who specialize in lifestyle behavioral interventions, and you can search for a doctor near you in the database, said Dr",Positive
"Jonathan Bonnet, a lifestyle medicine-certified physician and clinical associate professor (affiliate) at Stanford University School of Medicine.",Neutral
"Not all insurance plans cover it, but nutritionists are also really helpful for wading through what nutrition “hacks” are worthwhile and what you should focus your diet on for better health, Mozaffarian said.",Positive
"The truth is, the things that are shown to be most important to your health aren’t exciting and they aren’t a product you can buy, Bonnet said.",Positive
"“If anyone is telling you, hey, this is going to change our world and cure everything, that would be more suspect,” Bonnet said",Positive
"“The larger the claim, the more suspicious I would be.”",Positive
"Sleeping well, eating whole foods, getting physical activity, reducing your stress and maintaining close relationships should be your biggest priorities –– whether you are fighting a disease or not, he added.",Positive
"When a new hack or wellness trend pops up, Mozaffarian recommends utilizing a triangle of trust, that is three sources that you trust sharing positive information about it",Positive
"They could be a government source, a university site, a trusted physician or even studies in a medical journal, he added.",Neutral
"But you don’t have to choose between traditional or alternative medicine, Mozaffarian said",Neutral
They can work together.,Neutral
"“There are some really good functional medicine doctors who have spent their careers thinking about these things and trying to go to the root cause of disease,” he said",Positive
“But there are also a lot who don’t know really what they’re doing.”,Positive
"And practices that are seen as outside the US medical system, like acupuncture and meditation, actually do show real scientific benefit, he added.",Positive
"“There have been randomized trials showing that they make a difference in people’s lives and sometimes even beat out medicines for certain conditions,” Mozaffarian said.",Positive
"Whatever practices or supplements you try, just be sure to tell your doctor about it, Allen said",Positive
"Some patients are scared to disclose alternative methods they have tried, but it is important that your doctor know so they do not prescribe anything that is harmful when combined with what you are already doing, she said.",Positive
"At the end of the show (spoiler alert), next to depictions of the downfall of a wellness scammer, the audience sees Lucy going for her chemotherapy treatments while also doing yoga, taking ice baths and meditating",Neutral
"Balance is key, Strauss said.",Neutral
Clarification: This story was updated to more precisely describe the lifestyle medicine specialty.,Positive
"President Donald Trump is heading to the Supreme Court for the first time in his second term, using an emergency appeal to call on the justices to let him fire the head of a government ethics watchdog agency.",Positive
"The case, Bessent v",Neutral
"Dellinger, could eventually help clarify whether Congress may create independent agencies that are protected from the whims of the White House, or whether presidents can fire anyone seen as a potential critic.",Neutral
"It arrives at a moment when Trump is attempting to consolidate power within the federal government, summarily dismissing federal officials who might challenge him and attempting to freeze federal funding that Congress has required to be spent.",Negative
